p,inv_alpha_pred,inv_alpha_err_ppm,v_EW_pred,v_EW_err_pct,core_score_pct,n_s_pred,n_s_sigma,dist_from_lo,dist_from_hi,is_baseline,curvature,robustness,classification
107251,137.58226233,3986.276,245.803224,0.16927,0.306232,0.96842882,0.8402,0.495,0.505,0,2.638e-09,0.00308125,RMS-optimal|robust-interior|robust
107243,137.5805343,3973.665,245.795935,0.17223,0.306238,0.96842804,0.84,0.49381,0.50619,0,2.638e-09,0.00308015,RMS-optimal|robust-interior|robust
107269,137.58614997,4014.645,245.819621,0.16261,0.306281,0.96843059,0.8406,0.49769,0.50231,0,2.637e-09,0.00308177,RMS-optimal|robust-interior|robust
107227,137.57707788,3948.443,245.781358,0.178151,0.3063,0.96842647,0.8396,0.49142,0.50858,0,2.637e-09,0.0030806,RMS-optimal|robust-interior|robust
107273,137.58701381,4020.949,245.823265,0.16113,0.306303,0.96843098,0.8407,0.49828,0.50172,0,2.635e-09,0.00308176,RMS-optimal|robust-interior|robust
107279,137.58830952,4030.404,245.82873,0.158911,0.306345,0.96843157,0.8408,0.49918,0.50082,0,2.631e-09,0.00308108,RMS-optimal|robust-interior|robust
107209,137.57318885,3920.063,245.764956,0.184812,0.306451,0.9684247,0.8392,0.48873,0.51127,0,2.635e-09,0.00308222,RMS-optimal|robust-interior|robust
107201,137.5714602,3907.449,245.757666,0.187773,0.306545,0.96842391,0.839,0.48754,0.51246,0,2.633e-09,0.00308222,RMS-optimal|robust-interior|robust
107197,137.57059583,3901.141,245.754021,0.189253,0.306599,0.96842352,0.8389,0.48694,0.51306,0,2.63e-09,0.00308222,RMS-optimal|robust-interior|robust
107309,137.59478704,4077.673,245.856054,0.147813,0.306694,0.96843451,0.8415,0.50366,0.49634,0,2.625e-09,0.00308462,RMS-optimal|robust-interior|robust
107183,137.56757031,3879.063,245.741262,0.194435,0.306819,0.96842215,0.8386,0.48485,0.51515,0,2.626e-09,0.00308428,RMS-optimal|robust-interior|robust
107323,137.59780932,4099.727,245.868804,0.142635,0.306938,0.96843588,0.8419,0.50575,0.49425,0,2.616e-09,0.00308461,RMS-optimal|robust-interior|robust
107171,137.56497671,3860.136,245.730325,0.198877,0.307049,0.96842097,0.8383,0.48306,0.51694,0,2.617e-09,0.0030866,RMS-optimal|robust-interior|robust
107339,137.60126292,4124.929,245.883374,0.136718,0.30728,0.96843745,0.8423,0.50814,0.49186,0,2.609e-09,0.00308488,RMS-optimal|robust-interior|robust
107347,137.60298954,4137.529,245.890658,0.133759,0.307476,0.96843823,0.8424,0.50933,0.49067,0,2.602e-09,0.00308488,RMS-optimal|robust-interior|robust
107351,137.6038528,4143.829,245.8943,0.13228,0.30758,0.96843863,0.8425,0.50993,0.49007,0,2.598e-09,0.00308488,RMS-optimal|robust-interior|robust
107357,137.60514764,4153.278,245.899763,0.130061,0.307744,0.96843921,0.8427,0.51082,0.48918,0,2.591e-09,0.00308488,RMS-optimal|robust-interior|robust
107137,137.55762675,3806.501,245.699333,0.211464,0.307905,0.96841763,0.8375,0.47798,0.52202,0,2.605e-09,0.00310158,RMS-optimal|robust-interior|robust
107123,137.55459968,3784.411,245.68657,0.216648,0.308346,0.96841625,0.8372,0.47589,0.52411,0,2.593e-09,0.00310158,RMS-optimal|robust-interior|robust
107377,137.60946331,4184.771,245.917972,0.122666,0.308359,0.96844117,0.8431,0.51381,0.48619,0,2.563e-09,0.00308961,RMS-optimal|robust-interior|robust
107119,137.55373474,3778.1,245.682923,0.218129,0.308481,0.96841586,0.8371,0.47529,0.52471,0,2.583e-09,0.0031056,RMS-optimal|robust-interior|robust
107101,137.54984212,3749.694,245.666511,0.224794,0.30914,0.96841409,0.8367,0.47261,0.52739,0,2.576e-09,0.00311321,RMS-optimal|robust-interior|robust
107099,137.54940957,3746.537,245.664688,0.225535,0.309218,0.96841389,0.8366,0.47231,0.52769,0,2.567e-09,0.00311321,RMS-optimal|robust-interior|robust
107089,137.54724671,3730.754,245.655569,0.229238,0.309625,0.96841291,0.8364,0.47082,0.52918,0,2.559e-09,0.00311321,RMS-optimal|robust-interior|robust
107077,137.54465104,3711.813,245.644627,0.233683,0.310148,0.96841173,0.8361,0.46903,0.53097,0,2.55e-09,0.00311842,RMS-optimal|robust-interior|robust
107071,137.5433531,3702.341,245.639155,0.235905,0.310423,0.96841114,0.836,0.46813,0.53187,0,2.543e-09,0.00312382,RMS-optimal|robust-interior|robust
107069,137.54292044,3699.184,245.637331,0.236646,0.310516,0.96841094,0.8359,0.46783,0.53217,0,2.535e-09,0.00312382,RMS-optimal|robust-interior|robust
107441,137.62326852,4285.512,245.976225,0.099007,0.311013,0.96844744,0.8446,0.52336,0.47664,0,2.531e-09,0.00312622,RMS-optimal|robust-interior|robust
107057,137.54032432,3680.239,245.626387,0.241091,0.3111,0.96840976,0.8357,0.46604,0.53396,0,2.528e-09,0.00313642,RMS-optimal|robust-interior|robust
107053,137.53945889,3673.924,245.622739,0.242572,0.311302,0.96840937,0.8356,0.46544,0.53456,0,2.514e-09,0.00313987,RMS-optimal|robust-interior|robust
