z,delta_CP_pred_rad,delta_CP_pred_deg,delta_CP_frac_err,delta_CP_sigma,delta_CP_signed
2,0.9934460576052707,56.92026627469247,0.16935948360763314,4.501198719882872,-0.20255394239472924
3,1.0707963267948966,61.35211024345884,0.10468534548921689,2.7823038490022975,-0.1252036732051034
4,1.1235827312949387,64.37654843698162,0.0605495557734626,1.6092726378902504,-0.07241726870506127
5,1.1625480363310334,66.60909596298971,0.02796986928843355,0.7433769704214783,-0.03345196366896652
6,1.1928318537856692,68.34423089068495,0.0026489516842229956,0.07040324920734894,-0.0031681462143307026
7,1.2172429362016228,69.74288288646511,0.017761652342494043,0.4720652489249528,0.021242936201622875
8,1.2374629934615633,70.90140682897257,0.03466805473374862,0.9213998547014077,0.04146299346156335
9,1.2545685607780586,71.88148364238467,0.048970368543527265,1.3015235728457468,0.05856856077805861
10,1.2692849822171328,72.72467248037945,0.06127506874342213,1.6285551603807304,0.07328498221713287
11,1.2821211922000837,73.46013313734623,0.07200768578602319,1.9138042711129721,0.08612119220008374
12,1.2934462286822819,74.10900993060788,0.08147677983468389,2.165471748495154,0.09744622868228192
