p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
105019,6,True,137.09551290505334,0.0004342933349715123,434.2933349715123,ok,128.01151290505334,0.00046511899035059026,ok [non-independent of inv_alpha_0],243.7567032942887,0.010004454169893942,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.782250019137203e+17,0.011097947417610473,0.007080879674811208,2,2.4864000010893506e-05
104999,6,True,137.0911087867891,0.00040215493124058085,402.1549312405808,ok,128.0071087867891,0.0004306989088807176,ok [non-independent of inv_alpha_0],243.738245381185,0.010079419295000362,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.782572963432954e+17,0.011098652011168752,0.007132896393231389,2,2.7944000009938463e-05
104987,6,True,137.08846594797788,0.0003828692046512741,382.8692046512741,ok,128.00446594797788,0.00041004398507158205,ok [non-independent of inv_alpha_0],243.7271695991584,0.010124402570228242,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.78276676692096e+17,0.011099074853203664,0.007164150899859471,2,2.4784000004274276e-05
104971,6,True,137.0849417336101,0.00035715176987980205,357.15176987980203,ok,128.0009417336101,0.00038250073160320117,ok [non-independent of inv_alpha_0],243.7124006829687,0.010184385171924671,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783025214648718e+17,0.011099638742835795,0.007205874642153005,2,2.5219000008291914e-05
104959,6,True,137.08229825079172,0.00033786134374330477,337.86134374330476,ok,127.99829825079172,0.00036184077460080173,ok [non-independent of inv_alpha_0],243.70132309052593,0.01022937579999215,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783219082761585e+17,0.01110006173527136,0.0072372052459862245,2,2.6880000007167837e-05
104953,6,True,137.08097640584757,0.00032821537514385785,328.21537514385784,ok,127.99697640584756,0.0003515099869291897,ok [non-independent of inv_alpha_0],243.69578400326455,0.0102518722960582,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783316027208164e+17,0.011100273255670349,0.007252882561684232,2,2.8088999954434257e-05
104947,6,True,137.0796544918701,0.0003185689027839395,318.5689027839395,ok,127.99565449187008,0.00034117865973244714,ok [non-independent of inv_alpha_0],243.69024472195275,0.010274369580242252,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783412978582693e+17,0.01110048479219301,0.00726856782376103,2,3.845999998475236e-05
104933,6,True,137.07656975741747,0.0002960585079006006,296.0585079006006,ok,127.99256975741747,0.00031707013112317414,ok [non-independent of inv_alpha_0],243.67731897748445,0.01032686630864898,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783639225403638e+17,0.011100978440127801,0.0073051974099544266,2,2.7219999992667e-05
104917,6,True,137.0730438862195,0.0002703289826550625,270.3289826550625,ok,127.98904388621949,0.00028951392881309445,ok [non-independent of inv_alpha_0],243.6625454040129,0.010386867825469541,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.78389783940582e+17,0.011101542716736683,0.007347111710823433,2,2.3830999964502553e-05
104911,6,True,137.07172155788405,0.000260679486578946,260.679486578946,ok,127.98772155788404,0.00027917936323031524,ok [non-independent of inv_alpha_0],243.65700495802372,0.010409369839884166,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.783994832366783e+17,0.011101754350046558,0.007362843684956688,2,2.358199998298005e-05
