scenario_name,model_label,family,candidate_name,volume_m3,major_radius_m,minor_radius_m,length_m,plasma_pressure_pa,beta,required_field_t,magnetic_pressure_pa,magnetic_energy_mj,surface_area_m2,neutron_wall_load_mw_m2,magnet_mass_proxy_tonnes,direct_conversion_access,compactness_score,stability_score,engineering_score,net_power_score,shielding_score,magnetic_score,total_score,rationale
lunar_infrastructure_dhe3,order_of_magnitude_trade_study,frc,frc_linear_plasmoid,80.0,5.127565704556922,1.7091885681856405,10.255131409113844,10013603.962499999,0.85,5.441337609052779,11780710.544117646,942.4568435294117,128.48660892365774,0.023867593978900363,255.5569278400497,0.95,0.5048478977780688,0.55,0.78,0.3384076054197325,0.9766887885511178,0.6617635039485064,0.714895222083355,Best fit for high-beta compact D-He3 with direct end access.
lunar_infrastructure_dhe3,order_of_magnitude_trade_study,mirror,linear_mirror_nozzle,80.0,6.827840632552958,1.3655681265105915,13.655681265105915,10013603.962499999,0.45,7.478403235590154,22252453.249999996,1780.1962599999997,128.88408610541404,0.023793986567180986,574.2229477240622,0.88,0.34078275721207535,0.45,0.72,0.3384076054197325,0.9767590092544272,0.46545272660516285,0.6203260088714048,"Strong direct-conversion access, penalized for end-loss confinement risk."
lunar_infrastructure_dhe3,order_of_magnitude_trade_study,spherical_torus,spherical_torus_reference,80.0,1.802503144433128,1.0602959673136048,5.725598223493465,10013603.962499999,0.28,9.480606469701785,35762871.29464285,2861.0297035714284,116.3418634785112,0.02635909484191857,1479.4663333246351,0.32,0.4275896678645334,0.7,0.42,0.3384076054197325,0.974317863041903,0.25259333365888537,0.4770049948392775,"Mature equilibrium baseline, penalized for toroidal mass and poor charged-product access."
orbital_data_center_dhe3,order_of_magnitude_trade_study,frc,frc_linear_plasmoid,180.0,6.7190118467291144,2.2396706155763715,13.438023693458229,14419589.705999998,0.85,6.5296051308633345,16964223.18352941,3053.560173035294,220.62067681843652,0.0492058260801141,811.3539531180597,0.95,0.4483433918417109,0.55,0.78,0.4499371956267104,0.9531018367826364,0.38128531111766556,0.6673934496747703,Best fit for high-beta compact D-He3 with direct end access.
orbital_data_center_dhe3,order_of_magnitude_trade_study,mirror,linear_mirror_nozzle,180.0,8.947002289396496,1.789400457879299,17.89400457879299,14419589.705999998,0.45,8.974083882708184,32043532.679999992,5767.835882399999,221.30317350500616,0.04905407582399389,1833.0216539448743,0.88,0.2989911063920917,0.45,0.72,0.4499371956267104,0.9532397071280966,0.21431434172698605,0.5798823160301466,"Strong direct-conversion access, penalized for end-loss confinement risk."
orbital_data_center_dhe3,order_of_magnitude_trade_study,spherical_torus,spherical_torus_reference,180.0,2.3619473019037978,1.3893807658257635,7.502656135459123,14419589.705999998,0.28,11.37672776364214,51498534.66428569,9269.736239571424,199.76728219357057,0.05434234542314076,4737.383652097059,0.32,0.3999613690336521,0.7,0.42,0.4499371956267104,0.9484585384822691,0.09546751454799363,0.45290838730482114,"Mature equilibrium baseline, penalized for toroidal mass and poor charged-product access."
compact_space_reactor_dhe3,order_of_magnitude_trade_study,frc,frc_linear_plasmoid,40.0,4.06975159672486,1.3565838655749531,8.13950319344972,7209794.852999999,0.85,4.617128066503938,8482111.591764703,339.28446367058814,80.94149160626343,0.013318352399826615,95.98786381328529,0.95,0.5510057797441926,0.55,0.78,0.23918919750551573,0.9868566947709129,0.8389432576711715,0.7441571431502351,Best fit for high-beta compact D-He3 with direct end access.
compact_space_reactor_dhe3,order_of_magnitude_trade_study,mirror,linear_mirror_nozzle,40.0,5.419260701392891,1.0838521402785781,10.838521402785782,7209794.852999999,0.45,6.345635568399859,16021766.34,640.8706536,81.19188654033726,0.013277278739474235,213.2963999071197,0.88,0.37568669980517755,0.45,0.72,0.23918919750551573,0.9868966974607472,0.7009708727887963,0.6563090513785346,"Strong direct-conversion access, penalized for end-loss confinement risk."
compact_space_reactor_dhe3,order_of_magnitude_trade_study,spherical_torus,spherical_torus_reference,40.0,1.4306476938245674,0.8415574669556279,4.544410321560391,7209794.852999999,0.28,8.044561349384624,25749267.332142856,1029.9706932857143,73.29078139028591,0.014708634408456522,546.0393547557154,0.32,0.4481672142816705,0.7,0.42,0.23918919750551573,0.985504573520229,0.47799348822470106,0.5090279601874217,"Mature equilibrium baseline, penalized for toroidal mass and poor charged-product access."
terrestrial_demonstrator_dhe3,order_of_magnitude_trade_study,frc,frc_linear_plasmoid,120.0,5.869597491634318,1.9565324972114393,11.739194983268636,15020405.943749998,0.85,6.664250330197562,17671065.816176467,2120.527897941176,168.36508730388002,0.03278588971575292,566.634948704855,0.95,0.4768281172255928,0.55,0.78,0.6010826546099994,0.968254901580059,0.46876393897192026,0.6981925749745025,Best fit for high-beta compact D-He3 with direct end access.
