target_screening_net_mw,plant_net_power_mw,closes_engineering_net,plant_net_margin_mw,aggressiveness_score,pitch_angle_scattering_s,mirror_stabilization_factor,direct_conversion_cap,collector_base_efficiency,collector_match_bonus,uncapped_direct_conversion_efficiency,is_direct_conversion_cap_limited,direct_conversion_efficiency,plug_coil_mass_coefficient_tonnes_per_t2,collector_aux_kw_per_m2,nozzle_aux_fraction_of_direct_power,mirror_ratio,transport_loss_multiplier,plug_field_t,collector_nozzle_load_mw,engineering_load_mw,gross_fusion_mw,rejected_heat_mw,radiator_area_m2,collector_area_m2,temperature_kev,ion_density_m3,confinement_s,warnings
50.0,3.259002695929162,True,3.259002695929162,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.160480947161671,50.055048396171,6.746437382537842,46.74099730407084,598.220625840853,592.0351794346632,29988.649166332285,298.51492843087794,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.0071655785569327,True,3.0071655785569327,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1403847577293368,50.055048396171,6.786828275885863,46.992834421443064,601.8021703104522,595.8496904211688,30181.867467691794,300.3021361011444,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.8 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.234475556872545,True,2.234475556872545,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.13917960675006308,62.568810495213754,6.689897908745643,47.76552444312746,593.207153176862,588.0657981189385,29787.586142006043,296.01318180290457,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.21009082407814,True,2.21009082407814,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.160480947161671,42.304237122665725,6.922751693373417,47.78990917592186,613.8547822692168,608.6361245807021,30829.54500682859,306.31644660944323,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.9 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.9868542892914132,True,1.9868542892914132,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.12334368540005046,62.568810495213754,6.7296126430704835,48.013145710708585,596.7287412204128,591.8164527306834,29977.569895003813,297.77047093232227,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.8337601743806218,True,1.8337601743806218,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1403847577293368,42.304237122665725,6.982449267515435,48.16623982561938,619.1482902556472,614.2780520672679,31115.328335072816,308.9579321909484,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.0 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.7499813192169906,True,1.7499813192169906,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.13917960675006308,52.88029640333215,6.839708855157371,48.25001868078301,606.4912011919226,601.7665854895338,30481.578864113602,302.64198474147656,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.8 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.3826631678983201,True,1.3826631678983201,3.0000000000000004,80.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.12334368540005046,52.88029640333215,6.897976770857776,48.61733683210168,611.6579383926505,607.2733981180163,30760.518152988272,305.2202110999016,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.9 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.234475556872545,True,2.234475556872545,3.0000000000000027,80.0,1.0,0.88,0.62,0.22,0.88,False,0.88,0.2,5.0,0.01,5.0,0.13917960675006308,62.568810495213754,6.689897908745643,47.76552444312746,593.207153176862,588.0657981189385,29787.586142006043,296.01318180290457,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.9868542892914132,True,1.9868542892914132,3.0000000000000027,80.0,1.0,0.88,0.62,0.22,0.88,False,0.88,0.2,5.0,0.01,5.0,0.12334368540005046,62.568810495213754,6.7296126430704835,48.013145710708585,596.7287412204128,591.8164527306834,29977.569895003813,297.77047093232227,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
